original_audio_name	ordered_sentences	issues
uid_0FdMSMtn95PJ9tLFeW3F4sFLPMh1_sid_GcbJYqscm9YpPDCHkJWP_1743044185.wav	['The chinchilla is a charming creature, with soft fur and bright eyes.', 'Many find its small form and big ears quite appealing.', 'In the wild, chinchillas live in the mountains, darting among rocks and bushes.', 'Chinchillas are very smart and quick learners.', 'They can even learn some tricks if you are patient.', 'Feeding your chinchilla is an important part of caring for it.', 'Hay and pellets form the main part of its meal, but a small piece of apple or carrot is a nice treat.', 'Taking care of a chinchilla requires some effort.', 'You need to keep its cage clean and provide a dust bath for its fur.', 'Remember, a chinchilla can live up to twenty years with proper care.', 'Some people think chinchillas are hard to look after, but others love them.', 'It is important to research and talk to a pet doctor to learn more before bringing home a chinchilla.', 'Are you ready to welcome one to your home?']	"{""text"":[""M: Sentence 6: The child ends the previous sentence (\""They can even learn some tricks if you are patient\"") early, stopping before they say the word patient. The child then says \""I don't know what it says\"" which is Sentence 6 and marked as a self-response."",""M: Sentence 15, the child eagerly replies to the question \""Are you ready to welcome one to your home?\"" with \""yes!\"" Labeled as self-response.""]}"
uid_0FdMSMtn95PJ9tLFeW3F4sFLPMh1_sid_I3zB5EN064Hgyj1wYaJb_1743128471.wav	['Spider monkeys are smart animals found in warm forest trees in Central and South America.', 'These monkeys are known for their long arms and tails, which help them swing through trees with ease.', 'In the heart of the jungle, a young spider monkey named Star loved to explore.', 'She lived with her family high up in the trees.', 'Her strong arms and clever tail made her a great climber.', 'One sunny morning, Star noticed a strange fruit hanging from a far branch.', 'Her curiosity got the better of her and decided to investigate.', 'The journey was tricky; she had to be careful.', 'But Star was brave and swung bravely from tree to tree, not minding the dangers below.', 'Finally, reaching the branch, she grabbed the fruit.', 'It was juicy and sweet, just as she hoped.', 'Star returned to her family, proud of her adventurous spirit.', 'Her journey taught her that being curious and brave can lead to wonderful new experiences and treats!', 'The forest remained her home, full of adventures waiting to be discovered.', 'In the end, Star knew that the forest would always be her favorite place to explore.']	Z: The end of sentence 11 is 'she would', which I assume is the child misreading 'Star' of sentence 12; need to be fixed.
uid_0FdMSMtn95PJ9tLFeW3F4sFLPMh1_sid_PzCPrPJB9BiIogeRJC8Z_1743129370.wav	"['Once upon a time, a golden retriever named Sunny was playing in the meadow.', 'The ground was rough and bumpy, but Sunny was a strong dog.', 'He loved to run, leap, and bound wherever he could.', 'One day, Sunny thought, ""I ought to explore over the hill.""', 'The meadow was his favorite place, but he knew there were new sights to see.', 'Sunny trotted over, his tail wagging with bliss.', 'When he reached the top, he saw a beautiful oak tree standing tall.', 'Below it lay a cozy little pond.', 'Sunny bounded down, excited to take a closer look.', 'The water was smooth and clear.', 'He leaned in to see his reflection and thought, ""Wow, this pond is just right for a splash.""', 'Next to the pond, there was a loaf of bread lying on the grass, probably left by a picnicker.', ""Sunny's nose twitched."", 'He thought it might be fun to give it a little nudge.', 'So he did!', ""The loaf rolled and stopped near the water's edge."", 'As the sun began to set, Sunny wagged his tail again, feeling happy and satisfied.', 'He knew he would return tomorrow to play some more.', 'The day had been just the adventure he had hoped for.']"	"M: Child adds self-response at the very end, by saying ""I agree!"" and then following this up with ""oops, I forgot to say that"" (likely referring to a word forgotten in the prior sentence)"
uid_0FdMSMtn95PJ9tLFeW3F4sFLPMh1_sid_T5VCoUAXaeXMTbSB2cPN_1743043588.wav	['In the jungle, there lived a group of playful tigers.', 'Each tiger wore stripes, their coats shining bright.', 'They loved to run through the trees and splash in the streams.', 'One day, they found some boxes filled with toys.', 'The tigers took turns jumping and playing with the toys.', 'As the sun set, they returned to their cozy den, tails wagging with joy.', 'The jungle echoed with their happy laughs as they rested, dreaming of more fun tomorrow.', 'The next morning, the jungle buzzed with excitement.', 'The tigers were ready for another day of adventures with their friends!']	
uid_0FdMSMtn95PJ9tLFeW3F4sFLPMh1_sid_VbsXhwO07uFfFVrP02f5_1743043835.wav	['Koalas are charming animals found in Australia.', 'They have thick fur and live in gum trees.', 'During the day, koalas are often sleepy and rest in the trees.', 'At night, they come alive and search for their favorite food: eucalyptus leaves.', 'These leaves are tough and require special teeth to chew.', 'Koalas look like bears, but they are not.', 'They carry their young in a pouch, just like kangaroos.', 'A baby koala is called a joey.', 'The mother carries her joey everywhere until it is strong enough to explore on its own.', 'Although they face challenges, like habitat loss and cars, efforts are made to protect them.', 'Koalas remind us of the beauty and vulnerability of nature.', 'It is important to care for their world so they can live safe and happy lives.']	
uid_0FdMSMtn95PJ9tLFeW3F4sFLPMh1_sid_X19DlwS3B4SOtR90cYJB_1743128893.wav	"['A silky chicken named Silky lived on a small farm.', 'Silky loved to peck around the farmyard looking for seeds.', 'Her feathers were soft and special because they shone in the sunlight like silky threads.', 'One day, as Silky wandered near the pond, she saw a new friend!', 'It was a frog, hopping across the green grass.', 'Silky clucked with joy, ""Hello, Frog!', 'What brings you here?""', 'Frog replied, ""I am here to find a sunny spot to rest and catch some flies.""', 'Silky and Frog spent the day together.', 'They explored the wide fields and found some berries to eat.', 'Silky asked Frog, ""Do you ever leap to the other side of the pond?""', 'Frog croaked, ""Yes, sometimes I do, but today I will stay with you.""', 'They watched the sun set, painting the sky with pink and orange shades, feeling happy to have found each other.', 'As night fell, Silky returned to her coop.', 'She whispered, ""Good night, Frog!', 'See you in the months to come.""', 'Silky snuggled into her nest, dreaming of sunny days and new adventures.']"	"{""text"":[""repeated \""they\"" 3x in third sentence. "",""\""silky asked forg\"" repeated phrase due to correction"",""\""as night\"" repeated phrase due to correction.""]}"
uid_1w0NU0CL8KMbltxDo7mrkTKhgpD2_sid_PfrCS74Glv4OjfyMyKM8_1742503726.wav	['In the lush, green jungles of Africa, there lived a young gorilla named Maximus.', 'He was the smallest in his family, but he was the bravest.', 'Maximus loved exploring, discovering new trails, and climbing the tallest trees.', 'One sunny morning, Maximus noticed his family preparing for a journey.', 'His mother, Gloria, explained they were moving to a new home because their forest was becoming too crowded.', 'With excitement, Maximus packed his belongings quickly.', 'He was ready for the adventure.', 'As they traveled, Maximus noticed the forest changing.', 'The trees became taller, and the air was fresher.', 'They reached a beautiful valley full of delicious bananas and fresh water.', 'Maximus felt a sense of happiness and relief.', 'This new home was perfect!', 'In their new home, Maximus made new friends.', 'He became friends with Stella, a curious young gorilla with a joyful laugh.', 'Together, they played games, explored the jungle, and learned about their surroundings.', 'Maximus realized that change could be wonderful.', 'Maximus was proud of his bravery.', 'He knew that even though he was small, his adventurous spirit made a big difference.', 'With his family and new friends by his side, he felt unstoppable.', 'The jungle was now a place of endless possibilities.']	
uid_1w0NU0CL8KMbltxDo7mrkTKhgpD2_sid_WVnogOLLKWsUpfSCUTYy_1742504172.wav	"['Once upon a time in the magical land of Shamrock Valley, lived a leprechaun named Finnegan.', 'Finnegan was not an ordinary leprechaun; he was extraordinarily curious and adventurous.', 'He lived under a colossal oak tree, where he kept his treasured pot of gold.', 'One sunny morning, Finnegan decided to explore the vibrant meadow beyond his home.', 'As he skipped joyfully, he stumbled upon a peculiar sight.', 'There, in the middle of the meadow, stood an enormous rainbow with dazzling colors.', 'It was more magnificent than any rainbow he had ever seen before.', ""Finnegan's heart filled with excitement as he remembered the ancient leprechaun legend."", 'The legend said that at the end of the most marvelous rainbow, there lay a hidden treasure more valuable than gold.', 'Determined to discover this treasure, Finnegan set off on his quest.', 'He followed the rainbow through the enchanted forest, past bubbling brooks and singing birds.', 'Just as the sun began to set, Finnegan reached the end of the rainbow.', 'To his amazement, he found not a pot of gold, but a magical garden full of delicious, exotic fruits and flowers.', 'Finnegan realized the true treasure was not gold, but the extraordinary beauty and harmony around him.', 'With a heart full of joy, Finnegan returned to his oak tree.', ""He brought with him some of the garden's enchanting flowers, which he planted around his home."", 'From that day on, Shamrock Valley was known for its beautiful blossoms, and Finnegan was celebrated as the leprechaun who found the greatest treasure of all.', 'And so, Finnegan learned that sometimes the most valuable treasures are not what we expect, but the wonders we find along the way.']"	
uid_1w0NU0CL8KMbltxDo7mrkTKhgpD2_sid_rRZvUWqkJ1hLNL8pytmJ_1741561799.wav	"['Once upon a time, in a small town, there was a young boy named Max who loved basketball.', 'Every morning, he quickly put on his sneakers and practiced dribbling.', 'He was hopeful he would make the school team.', 'One day, the coach announced tryouts.', 'Max was nervously excited.', 'He practiced endlessly, shooting baskets until sunset.', 'His friends, who were helpful, cheered for him.', 'Max believed in himself, despite feeling a bit unsure.', 'On the day of the tryouts, Max arrived early.', 'His determination was unbreakable.', 'He watched as his friends performed skillfully.', 'When it was his turn, Max focused and played his best.', 'He dribbled confidently, passed accurately, and shot the ball perfectly.', 'After the tryouts, the coach posted the results.', 'Max was surprised and thrilled to see his name on the list!', 'He was a team member now.', 'His hard work and endless practice had paid off.', 'From that day on, Max played proudly with his new teammates.', 'He learned that with practice and belief in himself, he could achieve his dreams.', ""Max's love for basketball grew, and he enjoyed every game immensely.""]"	run on sentence (only second sentence marked as run on): He watched as his friends performed skillfully.[w] .....  (no stopping) When it was his turn, Max focused and played his best.[e]
uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782.wav	"['Once upon a time, a little mouse named Lou lived in a big brown house.', 'Lou loved to explore, and one day, he found a tiny crown under the couch.', '""Wow, what a find!"" Lou thought, placing it on his head.', 'With the crown, Lou felt proud.', 'He ran around and showed his friends the new treasure.', 'But soon, the sun began to go down, and Lou knew it was time to rest.', 'As he lay in bed, Lou smiled, feeling happy in his little world.']"	"{""text"":[""Dialogue \""wow, what a find\"" is separated from the dialogue tag \""Lou thought...\"" but the dialogue is included as part of another sentence. (Eg: Intended Sentence 1: Lou loved to explore, and one day, he found a tiny crown under the couch. \""Wow, what a find!\"" Intended Sentence 2: Lou thought, placing it on his head.\"") Should dialogue be included as part of second intended sentence, or perhaps as a sentence of its own?"",""M: fixed sentence segmentation issues due to incorrectly segmented sentences and fine-tuned existing segments. However, the intended sentences \""Wow what a find\"" and \""Lou though, placing it on his head\"" should be combined as one rather than two sentences (in my opinion). The first is the dialogue and the latter is the dialogue tag.""]}"
