task_id,annotator,start,end,intended_words,produced_word,IPA,error_category,error_labels,comments,goldStandard,original_audio_name,actual_production,actual_ipa
,,1.4653748081568199,2.096001019955025,Finn,Fill,['fɪl'],Mixed Error+Phonological+Orthographic Sub.,"['Consonant Substitution', 'Phonological']",,Finn the racer had a sturdy red car that purred with power.,uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,Fill,fɪl
,,2.1930772952838544,2.7343934259618097,the,,[],Correct,[],,Finn the racer had a sturdy red car that purred with power.,uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,the,ðɪ
,,4.372987471221454,5.187710864711161,racer,,[],Correct,[],,Finn the racer had a sturdy red car that purred with power.,uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,racer,ɹeɪsʌɹ
,,5.286389350858368,5.90347760193133,had,,[],Correct,[],,Finn the racer had a sturdy red car that purred with power.,uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,had,hˈæd
,,6.841599574697904,7.634681315199035,a,,[],Correct,[],,Finn the racer had a sturdy red car that purred with power.,uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,a,ʌ
,,9.041287789064276,9.708855150214593,sturdy,,[],Correct,[],,Finn the racer had a sturdy red car that purred with power.,uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,sturdy,stʌɹdi
,,9.72942475858369,10.202525751072963,red,,[],Correct,[],,Finn the racer had a sturdy red car that purred with power.,uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,red,ɹɛd
,,10.227398032829276,10.778474785407726,car,,[],Correct,[],,Finn the racer had a sturdy red car that purred with power.,uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,car,kɑɹ
,,11.148727736051502,12.033220895922746,that,,[],Correct,[],,Finn the racer had a sturdy red car that purred with power.,uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,that,ðæt
,,15.632902360515022,16.517395520386266,purred,,['poʊwd'],Phonological Error,"['Consonant Substitution', 'Vowel Substitution', 'Consonant Omission']",,Finn the racer had a sturdy red car that purred with power.,uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,poʊwd,poʊwd
,,16.584141565445503,17.052205337982834,with,,[],Correct,[],,Finn the racer had a sturdy red car that purred with power.,uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,with,wɪð
,,17.08064574656164,17.6075847639485,power,,[],Correct,[],,Finn the racer had a sturdy red car that purred with power.,uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,power,paʊɹ
,,2.0318228664265425,2.5070979599330356,The,,[],Correct,[],,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,The,ðɪ
,,2.535055318374594,2.9124796573356333,big,,[],Correct,[],,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,big,bɪg
,,2.982373053439529,3.4296907885044643,race,,[],Correct,[],,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,race,ɹeɪs
,,3.485605505387581,3.890987202790179,day,,[],Correct,[],,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,day,deɪ
,,4.142603428764205,4.673793239153815,had,,[],Correct,[],,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,had,hˈæd
,,4.691968762013023,5.145646282382925,come,,['kɑmədi'],Phonological Error,"['Vowel Substitution', 'Consonant Insertion', 'Vowel Insertion']",,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,kɑmədi,kɑmədi
,,5.1627411860497,5.351631546287719,and,,[],Correct,[],,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,and,ʌnd
,,5.356494479524703,5.912650348097675,Finn,,['fɪl'],Phonological Error,['Consonant Substitution'],,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,fɪl,fɪl
,,6.238226557737634,6.410563176311105,,,[],Unintelligible,[],,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,,
,,6.41910495208551,7.181134976511135,was,,[],Correct,[],,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,was,wʌz
,,7.68973393708876,8.298813336122361,ready,,[],Correct,[],,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,ready,ɹɛdi
,,8.376493394188687,8.922352677216194,to,,[],Correct,[],,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,to,toʊ
,,8.932702846030491,9.35245341395718,join,,[],Correct,[],,"The big race day had come, and Finn was ready to join.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,join,dʒɔɪn
,,1.111318640839612,1.5958561708291708,As,,[],Correct,[],,"As he started his car, it made a soft whirr.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,As,æz
,,1.6047715684315684,1.9168104845154843,he,,[],Correct,[],,"As he started his car, it made a soft whirr.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,he,hʌ
,,1.9435566773226773,2.4910331065222437,started,,[],Correct,[],,"As he started his car, it made a soft whirr.",uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav,started,stˈɑɹtɪd
