Path,Transcript,goldStandard
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.wav",fɪl the racer had a sturdy red car that pɔɹd with power eerly each morning Early itʃ mɔɹnɪŋ fɪl will hurry to the track His hɪz favorite  turn on the racecourse was called the Curvy Curve The big race day had come and fɪl was ready to join As he started his car it made a soft whirr The engines əv many cars tɹɛ|tɹɛmbld with excitement Fill no Finn felt a flutter of thorough thrill inside him With the starting flag up fɪl started forward The sound of the rushing air made a humming mʌləbaɪ As Finn ə|p|əpɹoʊtʃt the Curvy Curve he remembered to steer with car care His car turned smoothly like a bird in flight making him smile with joy Suddenly a sharp bump shook Finn's car He felt əngɜɹteɪtɛd and his heart thudded fast but he stayed f|fɜɹm He gripped the wheel drove through ay swift pass and swift|ly passed other cars The crowd cheered as Finn crossed the finish line his hɪz spritz haɪ hɪz spirits high and triumphant Finn had won the race With a  With a grateful smile he waved to the people The racing journey had thought him courage bringing him joy and a feeling of pride,"Finn the racer had a sturdy red car that purred with power. The big race day had come, and Finn was ready to join. As he started his car, it made a soft whirr. The engines of many cars trembled with excitement. Finn felt a flutter of thrill inside him. With the starting flag up, Finn surged forward. The sound of the rushing air made a humming melody. As Finn approached the Curvy Curve, he remembered to steer with care. His car turned smoothly like a bird in flight, making him smile with joy. Suddenly, a sharp bump shook Finn's car. He felt uncertainty and his heart thudded fast, but he stayed firm. He gripped the wheel, drove forward and swiftly passed other cars. The crowd cheered as Finn crossed the finish line, his spirits high and triumphant. Finn had won the race! With a grateful smile, he waved to the people. The racing journey had taught him courage, bringing him joy and a feeling of pride. Early each morning, Finn would hurry to the track. Finn the racer had a sturdy red car that purred with power. Early each morning, Finn would hurry to the track. His favorite turn on the racecourse was called the Curvy Curve. The big race day had come, and Finn was ready to join. As he started his car, it made a soft whirr. The engines of many cars trembled with excitement. Finn felt a flutter of thrill inside him. With the starting flag up, Finn surged forward. The sound of the rushing air made a humming melody. As Finn approached the Curvy Curve, he remembered to steer with care. His car turned smoothly like a bird in flight, making him smile with joy. Suddenly, a sharp bump shook Finn's car. He felt uncertainty and his heart thudded fast, but he stayed firm. He gripped the wheel, drove forward and swiftly passed other cars. The crowd cheered as Finn crossed the finish line, his spirits high and triumphant. Finn had won the race! With a grateful smile, he waved to the people. The racing journey had taught him courage, bringing him joy and a feeling of pride."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav",Pat Pat had a pen pet and the in the pan sat Pat and the pan fit p|at Pat tapped tapped the pe:n The pan slib|d slid pæ:t g: grinned ɡwɪnd,Pat had a pan. Pat and the pan sat. Pat and the pan fit. Pat tapped the pan. The pan slid. Pat grinned. Pat had a pan. Pat and the pan sat. Pat and the pan fit. Pat tapped the pan. The pan slid. Pat grinned.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812.wav",Zade loved playing baskball Each day he would wear his gear and head to the court near his home The air was f.fɹɛʃ and Zade felt eager on sunny day he was əm determinated to perfect his jump shot He took a deep breath focused and leaped into the air The ball scored soared and went through the hoop without touching the rim The cheer f:.from his friends was loud and filled Zade with pride But during practice he took a hard fall and tore his sneaker His friends were friends were there to help and show the care Zade sat on the bench a with a small te.tear in his eye thinking his day was over However his friend Clare cheer from his what came to him with a silly smile I have a spare pair immai in my bag ʃ.ʃi said Zade was thrilled He leɪkt up an new sneakers and returned to the game wɪf flair By the end of the day Zade's team won As they left the court Zade felt a sense of joy He learned that friendship and care make any tough time easier to bear,"Zade loved playing basketball. Each day, he would wear his gear and head to the court near his home. The air was fresh, and Zade felt eager. One sunny day, he was determined to perfect his jump shot. He took a deep breath, focused, and leapt into the air. The ball soared and went through the hoop without touching the rim. The cheer from his friends was loud and filled Zade with pride. But during practice, he took a hard fall and tore his sneaker. His friends were there to help and show they care. Zade sat on the bench with a small tear in his eye, thinking his day was over. However, his friend Clare came to him with a sly smile. ""I have a spare pair in my bag!"" she said. Zade was thrilled. He laced up the new sneakers and returned to the game with flair. By the end of the day, Zade's team won. As they left the court, Zade felt a sense of joy. He learned that friendship and care make any tough time easier to bear."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/uid_gUfM3yODstSdwltidtEzSlIo0q93_sid_YJYpGQOGORLj0onYXX3W_1742770181.wav",Once ɔ.əpɔn a time a mouth named L:|Lace leɪs: p|aw.aw|nd pon a n.naɪs s|p|o|t spot to a n|ice sp|ot spot to d|an|ce dance ʃ:i pr...an...ced pranced and  twirled with g...r...ass grass Once up|a: Once up     n|ay:|me|t.mt neɪmt l|a:|ss ford a n|ih:.|n|ice nice  spot to dance,"Once upon a time, a mouse named Lace found a nice spot to dance. She pranced and twirled with grace. Once upon a time, a mouse named Lace found a nice spot to dance."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830.wav",Sam and Pam plan ænd̚ əvɛntʃəɹ They skid sit si:t sit in a blue van The blue ðə van goes on sand and mud Sam and Pam guh|uh|r|in grin and clap This is fun says Pam An an  ant sits on Sam's hat Sam æm Pam stop and look says An ant said Sam Sam and Pam ah ʊ l|a|a|g laugh laugh laugh then continue k.ɑ|k|oʊ|n|t|ɛ.ɛ|n| ʊ con.con|tin|ue.ue contin|cons continue continue the fun ride on the sand,"Sam and Pam plan an adventure. They sit in a blue van. The van goes on sand and mud. Sam and Pam grin and clap. ""This is fun!"" says Pam. An ant sits on Sam's hat. Sam and Pam stop and look. ""An ant!"" says Sam. Sam and Pam laugh, then continue the fun ride on the sand."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725.wav",inuh small town there's a pɹaɪt light called Luna Every night lunəɪ would shine high sky əɹ high in the sky glowing and growing One day a little child named Ben wanted to see Luna up close He climbed a steep hill to reach the top where Luna seemed bigger As Ben looked up he saw the moon smile lighting up the world below Suddenly a gentle breeze blew and Ben felt the glow of Luna's  He waved goodbye and walked back down knowing ðaʊt Luna would always be there lighting in the night with her gentle  glow  I forgot,"In a small town, there was a bright light called Luna. Every night, Luna would shine high in the sky, glowing and growing. One day, a little child named Ben wanted to see Luna up close. He climbed a steep hill to reach the top where Luna seemed bigger. As Ben looked up, he saw the moon smile, lighting up the world below. Suddenly, a gentle breeze blew, and Ben felt the glow of Luna's warmth. He waved goodbye and walked back down, knowing that Luna would always be there, lighting the night with her gentle glow."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108.wav",Once upon a time a lion lived in the vantage grasslands and One day he met a king who was camping The lion was curious wʌt edge apported the king approached ðə kɪŋ ðəgl king sh:tood tall honley oldwi holding a this walking s:tɪk The lion is and king started at each other s:|tarted æt itʃ ʌðəɹ until the sky skaɪ turned dark də like naɪt.naɪtfɔl Then the lion let out a loud ɹo:ɹ The king rides his brave took a step back See the king cau:ge cauge the th lion felt respect They s:.star sp.shtarteds stroke the kwout mount mount at the sunset Finally the lion turned a ɛ.ɛənd left while the king remembered to hɪz: ten tent gravely for the extremeler,"Once upon a time, a lion lived in the vast grasslands. One day, he met a king who was camping. The lion was curious and approached the king. The king stood tall, holding his walking stick. The lion and king stared at each other until the sky turned dark like nightfall. Then, the lion let out a loud roar. The king, wise and brave, took a step back. Seeing the king's courage, the lion felt respect. They shared a quiet moment at the sunset. Finally, the lion turned and left, while the king returned to his tent, grateful for this encounter."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782.wav",Once upon a time a little mouse named Lou lived in a big brown house Lou love to ex|plor|ing and one day he found a tiny k.ɹaʊn under the couch Wow what a find l|lu thought placing it on his head With the grown (like crown) crown crown l:u felt proud He ɹæ ɛəndə showed his friends the new treasure But sunə the sun began to go down and Lou know nj:u it was time to ɹɛs time to wr:ist As he lay in a bed Lou smiled feeling happy in his little world,"Once upon a time, a little mouse named Lou lived in a big brown house. Lou loved to explore, and one day, he found a tiny crown under the couch. ""Wow, what a find!"" Lou thought, placing it on his head. With the crown, Lou felt proud. He ran around and showed his friends the new treasure. But soon, the sun began to go down, and Lou knew it was time to rest. As he lay in bed, Lou smiled, feeling happy in his little world."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/uid_TQTGm3pFYchsl1S1E0j0Pz15qno1_sid_7SHXQ4irDDmOvLPgsKxh_1741139454.wav",Grace had a big bɹæʃ at hɜw p...a...d pad s.sæm P|a|t Pat and M|a|x Max w:.with g|i|f|t gifts They sang and clapped as æst Grace c...u...t cut the  cake pear was a cat and a bat on the cake Grace was g|l|a|d glad and h|a|d had a n|a|p nap  æftəw the fun date with hɜw p|al|s.s pals,"Grace had a big bash at her pad. Sam, Pat, and Max came with gifts. They sang and clapped as Grace cut the cake. There was a cat and a bat on the cake. Grace was glad and had a nap after the fun day with her pals."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857.wav",Mermaid kitty live in a blue wɑk kʌvə She loved to ʃæt with a chi|chiny fish One day kitty found a lost backpack on a dock Inside was a map to a block island Explored the pack quick snacks and swam to the spot There she met a duck with a s|lɪk gold n: beak The duck had lost the backpack ɡʌlfʊl the duck gave her a ʃ:ɛl clock Kisty thought him and took back home happy with hith new friend and twɛʒəɹ,"Mermaid Catsy lived in a blue rock cove. She loved to chat with a shiny fish. One day, Catsy found a lost backpack on a dock. Inside was a map to a block island. Excited, she packed quick snacks and swam to the spot. There, she met a duck with a slick, gold beak. The duck had lost the backpack. Grateful, the duck gifted her a shell clock. Catsy thanked him and ticked back home, happy with her new friend and treasure."
