Path,Transcript,Intended Words,Produced Words,IPA,Error Category,Error Labels,IPA_Transcript,Child,Grade
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798231_word_segment_1.wav,Pat,Pat,,,Correct,[],pæt,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798231_word_segment_2.wav,Pat,Pat,,,Disfluency Error,['Word Repetition'],pæt,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798231_word_segment_3.wav,had,had,,,Correct,[],hˈæd,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798231_word_segment_4.wav,a,a,,,Correct,[],ʌ,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798231_word_segment_5.wav,pen,pan,pen,pɛn,Mixed Error+Phonological+Orthographic Sub.,"['Vowel Substitution', 'Phonological']",pɛn,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_word_segment_1.wav,pet,Pat,pet,pɛt,Mixed Error+Orthographic Sub.+Phonological,"['Phonological', 'Vowel Substitution']",pɛt,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_word_segment_2.wav,and,and,,,Correct,[],ʌnd,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_word_segment_3.wav,the,the,,,Correct,[],ðɪ,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_word_segment_4.wav,in,and,in,ɪn,Mixed Error+Phonological+Disfluency Error,"['Vowel Substitution', 'Consonant Omission', 'Word Repetition']",ɪn,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_word_segment_5.wav,the,the,the,,Mixed Error+Run-on Word+Disfluency Error,['Word Repetition'],ðɪ,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_word_segment_6.wav,pan,pan,,,Correct,[],pæn,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_word_segment_7.wav,sat,sat,,,Correct,[],sæt,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798233_word_segment_1.wav,Pat,Pat,,,Correct,[],pæt,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798233_word_segment_2.wav,and,and,,,Correct,[],ʌnd,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798233_word_segment_3.wav,the,the,,,Correct,[],ðɪ,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798233_word_segment_4.wav,pan,pan,,,Correct,[],pæn,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798233_word_segment_5.wav,fit,fit,,,Correct,[],fɪt,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798234_word_segment_1.wav,p|æt,Pat,,p|æt,Disfluency Error,"['Repair', 'Broken Word']",p|æt,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798234_word_segment_2.wav,Pat,Pat,,,Correct,[],pæt,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798234_word_segment_3.wav,tapped,tapped,,,Disfluency Error,['Parental Aid'],tæpt,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798234_word_segment_4.wav,tapped,tapped,,,Correct,[],tæpt,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798234_word_segment_5.wav,the,the,,,Correct,[],ðɪ,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798234_word_segment_6.wav,pe:n,pan,pe:n,pɛ:n,Mixed Error+Orthographic Sub.+Phonological+Disfluency Error,"['Phonological', 'Vowel Substitution', 'Prolongation']",pɛ:n,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798235_word_segment_1.wav,The,The,,,Correct,[],ðɪ,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798235_word_segment_2.wav,pan,pan,,,Correct,[],pæn,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798235_word_segment_3.wav,slib|d,slid,slib|d,slɪb|d,Mixed Error+Disfluency Error+Phonological+Orthographic Sub.,"['Broken Word', 'Consonant Substitution', 'Letter Reversal', 'Repair']",slɪb|d,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798235_word_segment_4.wav,slid,slid,,,Correct,[],slɪd,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798236_word_segment_1.wav,pæ:t,Pat,,pæ:t,Disfluency Error,['Prolongation'],pæ:t,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798236_word_segment_2.wav,g:,grinned,g:,g:,Mixed Error+Disfluency Error+Phonological,"['Parent Correction', 'Prolongation', 'Consonant Omission', 'Vowel Omission']",g:,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
