audio_id	annotators	worst_score	Top-level (general_label_type)	Top-level (not including correct)	Top-level (not including correct, run-on, or contractions)	CORRECT+RUNONs+CONTRACTIONs	Phonological specifics combined	Orthographic specifics combined	Grammatical specifics combined	Structural specifics combined	Visual specifics combined	Disfluency specifics combined	All specifics combined	Intended word	Produced word	Mispronunciation IPA	Individual Top: Correct	Individual Top: Phonological Error	Individual Top: Orthographic Error	Individual Top: Grammatical Error	Individual Top: Structural Error	Individual Top: Visual Tracking Error	Individual Top: Disfluency Error	Individual Top: Whispering	Individual Top: Run-on	Individual Top: Contraction/Shortening	Individual Top: Unintelligible	Individual Top: Self Response	Individual Top: Other	Individual Phono Spec: Consonant Substitution	Individual Phono Spec: Vowel Substitution	Individual Phono Spec: Consonant Omission	Individual Phono Spec: Vowel Omission	Individual Phono Spec: Consonant Insertion	Individual Phono Spec: Vowel Insertion	Individual Phono Spec: Misplaced Stress	Individual Ortho Spec: Letter Reversal	Individual Ortho Spec: Left Right Tracking Substitution	Individual Ortho Spec: Phonological Substitution	Individual Ortho Spec: Contextual Substitution	Individual Ortho Spec: Unrelated Substitution	Individual Gram Spec: Omission	Individual Gram Spec: Substitution	Individual Gram Spec: Insertion	Individual Struct Spec: Word Omission	Individual Struct Spec: Word Insertion	Individual Visual Spec: Skip Line	Individual Visual Spec: Backtrack	Individual Visual Spec: Wrong Order	Individual Disfluency Spec: Stutter	Individual Disfluency Spec: Word Repetition	Individual Disfluency Spec: Repair	Individual Disfluency Spec: Broken Word	Individual Disfluency Spec: Prolongation	Individual Disfluency Spec: Interjection	Individual Disfluency Spec: Parent Correction	Individual Disfluency Spec: Parental Aid
https://2025storiza.michaelbennie.org/audio_clips/93.7_end_132.4_uid_8AhIEcEU81Sn83Fyb0gnFvpiNij2_sid_5MQZoq9AQEsDcN4s2Te5_1742342125.mp3	lamanjennifer,rose.m	-0.857612	0.610879	0.463730	0.480371	0.837910	0.272167	NaN	NaN	NaN	NaN	0.267566	0.211706	0.984585	-0.060346	0.190914	0.812420	0.382868	-0.282051	NaN	NaN	NaN	0.708481	NaN	-0.016221	NaN	NaN	NaN	0.000000	0.737861	0.430381	-0.729679	-0.857612	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.203901	0.563655	0.359607	NaN	-0.000809	0.599414
https://2025storiza.michaelbennie.org/audio_clips/18.3_end_22.4_uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_7uCDiTq1wssSMWEFdyG8_1742239940.mp3	claire.kuntz,rose.m	-0.751960	0.868378	0.811881	0.795467	0.991802	0.337653	NaN	-0.049859	NaN	NaN	NaN	0.327398	0.996363	0.272644	0.657486	0.991634	1.000000	1.000000	-0.013543	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.612033	0.634037	-0.181703	-0.751960	0.648565	-0.033582	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.038625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/95.2_end_98.2_uid_eQ9VyOzVOCQWR7uTGBGzvfh3rUJ2_sid_i8ZL8hdudVu5SxNk90X4_1743022443.mp3	claire.kuntz,evanhalperin	-0.632697	0.363847	0.284801	0.264142	-0.114809	-0.010343	NaN	NaN	-0.028462	NaN	0.191638	0.289244	0.629812	0.650866	-0.022674	-0.100667	-0.021099	-0.036963	NaN	-0.100764	NaN	-0.632697	0.630230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.022176	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.025586	NaN	NaN	NaN	NaN	NaN	-0.067877	-0.127737	NaN	1.000000	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/44.4_end_46.8_uid_M3RVTGHWrAMCChSiCDrpejluqjQ2_sid_J3DTSl0s0xBwSzdlZEZW_1742137192.mp3	claire.kuntz,katherine.ball	-0.601696	0.527553	-0.009775	-0.507358	0.757593	-0.304163	NaN	NaN	NaN	NaN	NaN	-0.254642	0.999610	1.000000	0.510906	0.688283	-0.477666	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000	NaN	NaN	NaN	-0.601696	NaN	NaN	-0.078728	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/53.1_end_57.4_uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_7n1Handdit8pBvWWWmNt_1741993555.mp3	claire.kuntz,lamanjennifer	-0.583400	0.451148	0.394874	0.486092	NaN	0.374799	NaN	NaN	NaN	NaN	0.141200	0.098188	1.000000	NaN	0.669931	NaN	1.000000	NaN	NaN	NaN	NaN	0.225066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000	NaN	1.000000	NaN	-0.491251	-0.085940	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.583400	NaN	0.217934	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/40.9_end_52.4_uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_Hj3V7pDbdwHsMCjmjYgr_1742934325.mp3	claire.kuntz,landonturner	-0.567716	0.519184	0.211683	0.158519	0.625801	-0.138523	-0.189525	-0.013114	NaN	NaN	-0.087363	0.247001	0.872848	0.674396	0.404098	0.630379	-0.351370	0.596593	-0.070738	NaN	NaN	-0.096158	0.000000	NaN	NaN	NaN	NaN	NaN	-0.318807	-0.223500	-0.201708	-0.061050	-0.300918	NaN	NaN	NaN	NaN	NaN	0.000000	-0.567716	-0.040961	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.032336	NaN	NaN	-0.076880	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/32.8_end_40.4_uid_0FdMSMtn95PJ9tLFeW3F4sFLPMh1_sid_I3zB5EN064Hgyj1wYaJb_1743128471.mp3	claire.kuntz,ghineae	-0.555609	0.842821	0.295601	0.335415	0.851166	-0.168704	NaN	NaN	1.000000	NaN	-0.305597	0.340829	1.000000	0.628308	-0.171690	0.846510	-0.555609	-0.018623	NaN	1.000000	NaN	-0.526039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.100918	-0.019468	NaN	-0.031779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000	NaN	NaN	NaN	NaN	-0.057080	-0.176496	NaN	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/72.7_end_84.4_uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_7XfLT0jT1wvkAI9zLj1M_1743381734.mp3	claire.kuntz,rose.m	-0.555019	0.912424	0.712549	0.703567	0.911218	0.476486	NaN	NaN	NaN	NaN	1.000000	0.498972	0.999729	NaN	0.720801	0.913142	0.651635	NaN	NaN	NaN	NaN	1.000000	NaN	NaN	NaN	NaN	NaN	NaN	1.000000	1.000000	1.000000	NaN	-0.555019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000	NaN	NaN	1.000000	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/40.8_end_49.8_uid_RMEYcjWuQJRINI73hdlEKDjPREw2_sid_1VgvJXZB45xk11mYvRbT_1741133876.mp3	claire.kuntz,rose.m	-0.530935	0.778731	0.339463	0.332117	0.999793	0.268702	NaN	NaN	NaN	NaN	-0.011210	0.248863	0.903691	1.000000	1.000000	0.999795	1.000000	1.000000	NaN	NaN	NaN	-0.530935	-0.017636	NaN	NaN	NaN	NaN	NaN	1.000000	-0.048321	NaN	-0.133305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.022563	-0.009725	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/142.0_end_153.7_uid_1w0NU0CL8KMbltxDo7mrkTKhgpD2_sid_rRZvUWqkJ1hLNL8pytmJ_1741561799.mp3	claire.kuntz,rose.m	-0.519481	0.625869	0.495213	0.499974	0.567934	0.479270	NaN	1.000000	0.999531	NaN	-0.164174	0.467148	0.999874	0.999702	0.402821	0.608830	0.610808	NaN	1.000000	0.999549	NaN	-0.519481	NaN	NaN	NaN	NaN	NaN	NaN	-0.082901	-0.059841	0.616065	0.568071	0.595197	1.000000	NaN	NaN	NaN	NaN	NaN	NaN	1.000000	NaN	NaN	NaN	0.999543	NaN	NaN	NaN	NaN	NaN	-0.238087	NaN	NaN	NaN	NaN	NaN
